Channel Name,Channel ID,YouTube URL,Theme,Tags,Favorite,Classification Basis,Needs Review
Absolute History,UCr5qeBG9g7bGtMGyHG2GzbQ,https://www.youtube.com/channel/UCr5qeBG9g7bGtMGyHG2GzbQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Ahmad Massad,UCadoKaQadkmNZg-MymcKWqg,https://www.youtube.com/channel/UCadoKaQadkmNZg-MymcKWqg,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
AL HASHIM - حسن هاشم,UCN1Lyow-3R4jtN-cddDd_eQ,https://www.youtube.com/channel/UCN1Lyow-3R4jtN-cddDd_eQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Al Jazeera Documentary الجزيرة الوثائقية,UC0LSnqrwqtMwl2YwfUpO66g,https://www.youtube.com/channel/UC0LSnqrwqtMwl2YwfUpO66g,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Alex O'Connor,UC7kIy8fZavEni8Gzl8NLjOQ,https://www.youtube.com/channel/UC7kIy8fZavEni8Gzl8NLjOQ,Documentary & History,History; Documentary; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Ali El-Meshwady - علي المشوادي,UCy9ilwTu6eN_FOxSmfXcvng,https://www.youtube.com/channel/UCy9ilwTu6eN_FOxSmfXcvng,Documentary & History,History; Documentary; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
Author Documentaries,UCNiTj1phKBmEt3VGtLJSXdg,https://www.youtube.com/channel/UCNiTj1phKBmEt3VGtLJSXdg,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
Ayah Choukri | HISTORY OF MOROCCO,UCVVdzPAG4KENF9WlOHle-bQ,https://www.youtube.com/channel/UCVVdzPAG4KENF9WlOHle-bQ,Documentary & History,History; Documentary; Morocco,Yes,"Inferred from channel name, recent video titles, and collection context",No
B.C History,UCQRKVbNINcC3JvNUl5Ucy9w,https://www.youtube.com/channel/UCQRKVbNINcC3JvNUl5Ucy9w,Documentary & History,History; Documentary; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
Badir Aziz,UCOj-5j0OBI-lCYg_uqOuncQ,https://www.youtube.com/channel/UCOj-5j0OBI-lCYg_uqOuncQ,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
bagheera باغيرا,UCpWrJD0TNaVxwSy6_IWxbvA,https://www.youtube.com/channel/UCpWrJD0TNaVxwSy6_IWxbvA,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
Biographia بيوغرافيا,UCeOTZDw4IOkDvQEs0yibNBQ,https://www.youtube.com/channel/UCeOTZDw4IOkDvQEs0yibNBQ,Documentary & History,History; Documentary; Morocco,Yes,"Inferred from channel name, recent video titles, and collection context",No
Derrad - دراد,UCII7AaRRsANtg3lXl-dDUJQ,https://www.youtube.com/channel/UCII7AaRRsANtg3lXl-dDUJQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
DW Documentary,UCW39zufHfsuGgpLviKh297Q,https://www.youtube.com/channel/UCW39zufHfsuGgpLviKh297Q,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
DW Documentary وثائقية دي دبليو,UCET6sWl4Xcu-U8Ka9PJPrwA,https://www.youtube.com/channel/UCET6sWl4Xcu-U8Ka9PJPrwA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
DZZ,UCp1yc5FhOrIsGPPQnBrN7dg,https://www.youtube.com/channel/UCp1yc5FhOrIsGPPQnBrN7dg,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Epimetheus,UCp9ZtilfKJds0iWytR_pnOQ,https://www.youtube.com/channel/UCp9ZtilfKJds0iWytR_pnOQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Fenster,UCLkEDgRYBjjSJCcFpsw1MnA,https://www.youtube.com/channel/UCLkEDgRYBjjSJCcFpsw1MnA,Documentary & History,History; Documentary; Morocco; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
Free Documentary - History,UCsgPO6cNV0wBG-Og3bUZoFA,https://www.youtube.com/channel/UCsgPO6cNV0wBG-Og3bUZoFA,Documentary & History,History; Documentary; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
Get.history,UCTRgu3iuyGXbhz5kYNjpObw,https://www.youtube.com/channel/UCTRgu3iuyGXbhz5kYNjpObw,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Historically,UCoZd78hRUdxxsuGiABuHF_A,https://www.youtube.com/channel/UCoZd78hRUdxxsuGiABuHF_A,Documentary & History,History; Documentary; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
History Calling,UCEzihyFf5hNSfq3UJzFoBUw,https://www.youtube.com/channel/UCEzihyFf5hNSfq3UJzFoBUw,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Kings and Things,UCWE7rlT-oO5DbnJOtxhX_KA,https://www.youtube.com/channel/UCWE7rlT-oO5DbnJOtxhX_KA,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
marouane53,UC3TyojVupN-Q09L_-LEX54Q,https://www.youtube.com/channel/UC3TyojVupN-Q09L_-LEX54Q,Documentary & History,History; Documentary; Morocco,Yes,"Inferred from channel name, recent video titles, and collection context",No
Mohammad Youssef,UCL-gEr4JqnUuxGUPIAlh8_w,https://www.youtube.com/channel/UCL-gEr4JqnUuxGUPIAlh8_w,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
naoufal chaara,UCto-ZD8IibckcCCGzS0nlMg,https://www.youtube.com/channel/UCto-ZD8IibckcCCGzS0nlMg,Documentary & History,History; Documentary; Morocco,Yes,"Inferred from channel name, recent video titles, and collection context",No
Pawn Stars,UCmyjVwYZbp5YPYTUyeopO2g,https://www.youtube.com/channel/UCmyjVwYZbp5YPYTUyeopO2g,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Ryan Chapman,UC6FO-Up1-oLj5nNivCNHL-Q,https://www.youtube.com/channel/UC6FO-Up1-oLj5nNivCNHL-Q,Documentary & History,History; Documentary; Geopolitics; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Selim Hamidi سليم حميدي,UCWw2aZP-gZpffyPD1EDJ0wA,https://www.youtube.com/channel/UCWw2aZP-gZpffyPD1EDJ0wA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Sleepless Historian,UCy3Hgwj12x3fDQUcutNm2DA,https://www.youtube.com/channel/UCy3Hgwj12x3fDQUcutNm2DA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Taha Essou,UCqUO3O-XAiM6vpC5qScVjww,https://www.youtube.com/channel/UCqUO3O-XAiM6vpC5qScVjww,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
The Histocrat,UCSwFnHpDt-lZgR_7Sqisi6A,https://www.youtube.com/channel/UCSwFnHpDt-lZgR_7Sqisi6A,Documentary & History,History; Documentary; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
The Kandari Chronicles,UCxOULoJH_oMiHk6zZo4Nwew,https://www.youtube.com/channel/UCxOULoJH_oMiHk6zZo4Nwew,Documentary & History,History; Documentary; Morocco; Geopolitics,Yes,"Inferred from channel name, recent video titles, and collection context",No
Timeline - World History Documentaries,UC88lvyJe7aHZmcvzvubDFRg,https://www.youtube.com/channel/UC88lvyJe7aHZmcvzvubDFRg,Documentary & History,History; Documentary; Geopolitics; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
WatchMojo.com,UCaWd5_7JhbQBe4dknZhsHJg,https://www.youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
Wendigoon,UC3cpN6gcJQqcCM6mxRUo_dA,https://www.youtube.com/channel/UC3cpN6gcJQqcCM6mxRUo_dA,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
YassParkourist,UClntQKze93C-0BZ6lkgnYhg,https://www.youtube.com/channel/UClntQKze93C-0BZ6lkgnYhg,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
أمين العوني / Amine Aouni,UCjv6T8oa91ofNq2_u0yIBzQ,https://www.youtube.com/channel/UCjv6T8oa91ofNq2_u0yIBzQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
السبيل al-sabeel,UCyvk_lo0codsbB8oWL6xUBA,https://www.youtube.com/channel/UCyvk_lo0codsbB8oWL6xUBA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
النجم استوديو,UCC7pDwUfXBv_HcH2ckTacNQ,https://www.youtube.com/channel/UCC7pDwUfXBv_HcH2ckTacNQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
تاريخ و جغرافيا,UCS4g09DPtz7u_S1hTStWtlA,https://www.youtube.com/channel/UCS4g09DPtz7u_S1hTStWtlA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
تذكر و تفكر,UCWyH-S-1cAToFlN5AFTGQaA,https://www.youtube.com/channel/UCWyH-S-1cAToFlN5AFTGQaA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
سواعد الإخاء,UCp8jgoVFF1IlDFa58Kwc8Tw,https://www.youtube.com/channel/UCp8jgoVFF1IlDFa58Kwc8Tw,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
سوس العالمة,UCF9hFrm1XclIOwk-JeVtcWQ,https://www.youtube.com/channel/UCF9hFrm1XclIOwk-JeVtcWQ,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
صابر مشهور التاريخية,UCFYxcI3NcbZUKyjtsfgVSiA,https://www.youtube.com/channel/UCFYxcI3NcbZUKyjtsfgVSiA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
عبداللطيف +,UCIApkIE8VWz6a9uxBJ5u8wA,https://www.youtube.com/channel/UCIApkIE8VWz6a9uxBJ5u8wA,Documentary & History,History; Documentary,Yes,"Inferred from channel name, recent video titles, and collection context",No
قعدة تاريخ,UC1QV8Af65UMkQrDSPrBPc1Q,https://www.youtube.com/channel/UC1QV8Af65UMkQrDSPrBPc1Q,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
معاد الرحالة,UC3Y-6bXVSUfxGi_EyJoadhQ,https://www.youtube.com/channel/UC3Y-6bXVSUfxGi_EyJoadhQ,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
يمان history,UCUauaBIGBgiFwm1qC1jOjGw,https://www.youtube.com/channel/UCUauaBIGBgiFwm1qC1jOjGw,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
‫تاريخستان (أرض التاريخ)‬‎,UC-4-KHSUKDlreMZ3oki2BLA,https://www.youtube.com/channel/UC-4-KHSUKDlreMZ3oki2BLA,Documentary & History,,No,"Inferred from channel name, recent video titles, and collection context",No
bacfacile,UCm13TDUuCw8DMRgYh_f2Akw,https://www.youtube.com/channel/UCm13TDUuCw8DMRgYh_f2Akw,Education & Study,,No,Inferred from the previous PocketTube collection,No
Abdallah Rakha عبد الله رخا,UCv2u1432CnTCiLtvSFRKYNw,https://www.youtube.com/channel/UCv2u1432CnTCiLtvSFRKYNw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
abdullah rushdy-عبدالله رشدي,UCb5kp2EMETR2RCR1kT0c26g,https://www.youtube.com/channel/UCb5kp2EMETR2RCR1kT0c26g,Faith & Islamic Studies,,No,Inferred from the previous PocketTube collection,No
Abdur Raheem McCarthy,UCND51YWr41YLEQ543rYQRrg,https://www.youtube.com/channel/UCND51YWr41YLEQ543rYQRrg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Abu Taymiyyah,UCpgJmGV319I-qNm5x40viTQ,https://www.youtube.com/channel/UCpgJmGV319I-qNm5x40viTQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Ahmed Amer,UCah56qawts736uNxZA3inLQ,https://www.youtube.com/channel/UCah56qawts736uNxZA3inLQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Ahmed Elwaseila,UCJAh1yyImVnNgfyNR2i5HhA,https://www.youtube.com/channel/UCJAh1yyImVnNgfyNR2i5HhA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Ahmed Mansour - أحمد منصور,UCMYL1Lgjhi5yS4gCa6Rxwig,https://www.youtube.com/channel/UCMYL1Lgjhi5yS4gCa6Rxwig,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
AlfarouqChannel,UCOjL1BhmX7ePbLVurmrxiSg,https://www.youtube.com/channel/UCOjL1BhmX7ePbLVurmrxiSg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Ali Dawah,UCK9GD2WRxJxbDz9croru9UQ,https://www.youtube.com/channel/UCK9GD2WRxJxbDz9croru9UQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
DarcoranChannal,UC9zxr8S3-bjiXu0NRI3rcSQ,https://www.youtube.com/channel/UC9zxr8S3-bjiXu0NRI3rcSQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Dr Zakir Naik,UC3YmP7nqf514I1zh1eVbzrA,https://www.youtube.com/channel/UC3YmP7nqf514I1zh1eVbzrA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Dr. Mohamed Talal LAHLOU - د. محمد طلال لحلو,UCcZKBgFsVmF5W06GQzfcz_g,https://www.youtube.com/channel/UCcZKBgFsVmF5W06GQzfcz_g,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Hassan Alhabib,UCCF7bF8Yt8rdOGXllNeo-EQ,https://www.youtube.com/channel/UCCF7bF8Yt8rdOGXllNeo-EQ,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
Hazem,UCMjFJSgEgVv9jfUxStYs9jw,https://www.youtube.com/channel/UCMjFJSgEgVv9jfUxStYs9jw,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
Hicham Bouanani - هشام البوعناني,UCL207CDI2muQDQRrEclfe7g,https://www.youtube.com/channel/UCL207CDI2muQDQRrEclfe7g,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Islam Abuauf,UCcG1yXxYV1_QaULKbrCfyPw,https://www.youtube.com/channel/UCcG1yXxYV1_QaULKbrCfyPw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Islam Amin,UCTdrZkCxhPAQZNHUr9BgcbQ,https://www.youtube.com/channel/UCTdrZkCxhPAQZNHUr9BgcbQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Khaled Alnajjar | خالد النجار,UCek-h3GDuaoorsu2qyzWlxw,https://www.youtube.com/channel/UCek-h3GDuaoorsu2qyzWlxw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Know Islam إعرف الإسلام,UCUWEC3K-a6govOtYeuprS5g,https://www.youtube.com/channel/UCUWEC3K-a6govOtYeuprS5g,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
LOGICAL DAAWAH دعوة عقلانية,UCU9Y84i0fi0miB192IE2_sA,https://www.youtube.com/channel/UCU9Y84i0fi0miB192IE2_sA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Mohammad Elghaleez,UC87hmYpPnVdgmv4bvs0V-eg,https://www.youtube.com/channel/UC87hmYpPnVdgmv4bvs0V-eg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Mohammed Hijab,UCHDFNoOk8WOXtHo8DIc8efQ,https://www.youtube.com/channel/UCHDFNoOk8WOXtHo8DIc8efQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Moor Rider,UC3RjgN2MsMx56PQpDm0JomA,https://www.youtube.com/channel/UC3RjgN2MsMx56PQpDm0JomA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Muslim Revert,UCKWs-9bZPIUkIErZar9dovw,https://www.youtube.com/channel/UCKWs-9bZPIUkIErZar9dovw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Muslim Speakers,UCX4kkW2kc-x_3EbbkxhZZLw,https://www.youtube.com/channel/UCX4kkW2kc-x_3EbbkxhZZLw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
NaderAbouAnas Officiel,UCQqUq4qKL8u4-_vEOiz1pvg,https://www.youtube.com/channel/UCQqUq4qKL8u4-_vEOiz1pvg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Nouman Ali Khan - Official - Bayyinah,UCRtiU-lpcBSi-ipFKyfIkug,https://www.youtube.com/channel/UCRtiU-lpcBSi-ipFKyfIkug,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Oases of Wisdom,UCR-vnjZ_MmhsecpMqXS3BEQ,https://www.youtube.com/channel/UCR-vnjZ_MmhsecpMqXS3BEQ,Faith & Islamic Studies,Islam; Faith; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Omar Al Odah,UClf0FRA77YdPHHLDDHv9bcw,https://www.youtube.com/channel/UClf0FRA77YdPHHLDDHv9bcw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
OnePath Network,UCQHRLH8RQIrdGWMhf5heWiA,https://www.youtube.com/channel/UCQHRLH8RQIrdGWMhf5heWiA,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
Reverted Muslims,UC8G7qtVoAyYn6fBne_lNbWg,https://www.youtube.com/channel/UC8G7qtVoAyYn6fBne_lNbWg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Saajid Lipham,UCLhx8lGeqezPRBtWT_41Nkg,https://www.youtube.com/channel/UCLhx8lGeqezPRBtWT_41Nkg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Scientist Imane | ساينتست إيمان,UCLkQHJq6cUVF3jBugyeUIOw,https://www.youtube.com/channel/UCLkQHJq6cUVF3jBugyeUIOw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Smile 2 Jannah,UCeccrNGLzk6d0M_vaomD3LQ,https://www.youtube.com/channel/UCeccrNGLzk6d0M_vaomD3LQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
soufyan iallouchen - سفيان إعلوشن,UCWSdkgiuqWthwS0K8Ope3EA,https://www.youtube.com/channel/UCWSdkgiuqWthwS0K8Ope3EA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
TaherART عالم طاهر آرت,UC5RkBPuSzbyudZI0UA1B_Vw,https://www.youtube.com/channel/UC5RkBPuSzbyudZI0UA1B_Vw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Télé Maroc,UC6eBD5wxTbOdZbZSTlHKtVg,https://www.youtube.com/channel/UC6eBD5wxTbOdZbZSTlHKtVg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
Unknown channel,UCduD22OSc9f98Fg4NuJHU3Q,https://www.youtube.com/channel/UCduD22OSc9f98Fg4NuJHU3Q,Faith & Islamic Studies,Islam; Faith,Yes,Needs review: channel metadata could not be resolved,Yes
Unknown channel,UCqF93nkibhEA1Sz8nZuqrVQ,https://www.youtube.com/channel/UCqF93nkibhEA1Sz8nZuqrVQ,Faith & Islamic Studies,,No,Needs review: channel metadata could not be resolved,Yes
YOUR-FITRA,UCVe9scgFCo97IEWj0I37Ozg,https://www.youtube.com/channel/UCVe9scgFCo97IEWj0I37Ozg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
أحمد السيد,UC7AbKZa30XPMInZIsViiBOQ,https://www.youtube.com/channel/UC7AbKZa30XPMInZIsViiBOQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
أحمد الصابوني Ahmad Al-Sabouni,UCtwEec5B1N5sf_2QORREiGQ,https://www.youtube.com/channel/UCtwEec5B1N5sf_2QORREiGQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
أسطرميد Astormed,UCQby890pGu2016rGQQNXnxQ,https://www.youtube.com/channel/UCQby890pGu2016rGQQNXnxQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
أكاديمية البلدة الطيبة العلمية - علوم شرعية,UCoddfkVHlnQjajAAcr8UJ9A,https://www.youtube.com/channel/UCoddfkVHlnQjajAAcr8UJ9A,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
أنا إيجابي,UC1k-IXD5AVrcpwi4tvxUhOw,https://www.youtube.com/channel/UC1k-IXD5AVrcpwi4tvxUhOw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
إحياء ehyaa,UCxzZVs2oY3mmE8fLJLLcZDg,https://www.youtube.com/channel/UCxzZVs2oY3mmE8fLJLLcZDg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الباش محفظ,UC9oxi9UmKsoIWCl4XEnxGmg,https://www.youtube.com/channel/UC9oxi9UmKsoIWCl4XEnxGmg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الداعية عبدالرحمن اللحياني,UCPwTVFNMKinEh0_XxT1Zrgg,https://www.youtube.com/channel/UCPwTVFNMKinEh0_XxT1Zrgg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الدكتور إياد قنيبي - القناة الرسمية,UCahYlNszeMy_PHffYvgAOHg,https://www.youtube.com/channel/UCahYlNszeMy_PHffYvgAOHg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الدكتور حامد الإدريسي,UCdCN9CSccAIJ3zw2IxaxTCg,https://www.youtube.com/channel/UCdCN9CSccAIJ3zw2IxaxTCg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الدكتور راغب السرجاني,UCCFclvIzI-oqdzQcJ-OOhEg,https://www.youtube.com/channel/UCCFclvIzI-oqdzQcJ-OOhEg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
الدكتور فريد الأنصاري,UCDL_kqY8KD8gdqmgRV1q9oA,https://www.youtube.com/channel/UCDL_kqY8KD8gdqmgRV1q9oA,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
الشيخ حسام الحمايدة,UCsQMPf6d7r0lQSBDdvstLKg,https://www.youtube.com/channel/UCsQMPf6d7r0lQSBDdvstLKg,Faith & Islamic Studies,,No,Inferred from the previous PocketTube collection,No
الغافري QQQ,UCeriWoRVWMHXBbo-FNG-0GQ,https://www.youtube.com/channel/UCeriWoRVWMHXBbo-FNG-0GQ,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية لشبكة الطريق الى الله - way2allah,UCTWl6YfGbUj5C1ul10hcUOg,https://www.youtube.com/channel/UCTWl6YfGbUj5C1ul10hcUOg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية لفضيلة الشيخ محمد متولي الشعراوي,UCijSEIUA72pyzSNOf_lx5ng,https://www.youtube.com/channel/UCijSEIUA72pyzSNOf_lx5ng,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية للأستاذ ياسين العمري,UCFQWoC4qoKjr3Dm7Ead969w,https://www.youtube.com/channel/UCFQWoC4qoKjr3Dm7Ead969w,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية للدكتور مصطفى محمود,UCG6tWYl5Zb490PkSAjE2iRg,https://www.youtube.com/channel/UCG6tWYl5Zb490PkSAjE2iRg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية للشيخ عبد الحميد أبو النعيم,UC4d-X5rmYEXKyzYTd_Jyoaw,https://www.youtube.com/channel/UC4d-X5rmYEXKyzYTd_Jyoaw,Faith & Islamic Studies,,No,Inferred from the previous PocketTube collection,No
القَناةُ الرَّسمِيةُ للدكتور مُصطَفى الهِلالي,UC3yYQk6uzDeFy-zT61IUZ9w,https://www.youtube.com/channel/UC3yYQk6uzDeFy-zT61IUZ9w,Faith & Islamic Studies,,No,Inferred from the previous PocketTube collection,No
المواد الصوتية عبد الله بن فهد الخليفي,UC_KwLjBWENlAUnQxpBCd8TA,https://www.youtube.com/channel/UC_KwLjBWENlAUnQxpBCd8TA,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
باللغه العربيه SCDawah Arabic,UCycYlE5JlMGwgls3ZeFFHKg,https://www.youtube.com/channel/UCycYlE5JlMGwgls3ZeFFHKg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
د. هيثم طلعت Dr. Haitham Talaat,UCLj8UFOcdFrvlh24Lw7jrgA,https://www.youtube.com/channel/UCLj8UFOcdFrvlh24Lw7jrgA,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
دكتور ذاكر نايك مترجم,UCWZEG9O221KaXiWThBtMHQQ,https://www.youtube.com/channel/UCWZEG9O221KaXiWThBtMHQQ,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
سامح الجنداوي ( القناة الرسمية ),UClytYhL7vkTiiWcauy3fXKw,https://www.youtube.com/channel/UClytYhL7vkTiiWcauy3fXKw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
شؤون إسلامية,UCvGF-1D4tphYPFI2HPITbHg,https://www.youtube.com/channel/UCvGF-1D4tphYPFI2HPITbHg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
شريف علي,UC562PEzdpMULIOtinS79mzw,https://www.youtube.com/channel/UC562PEzdpMULIOtinS79mzw,Faith & Islamic Studies,Islam; Faith,Yes,Inferred from the previous PocketTube collection,No
شيخ العمود,UCq9ksdR_ZV8v4aiY_8vmJkg,https://www.youtube.com/channel/UCq9ksdR_ZV8v4aiY_8vmJkg,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
طمأنينة للقلب,UCjTysOaxnZ5cqRDsWxSp-hw,https://www.youtube.com/channel/UCjTysOaxnZ5cqRDsWxSp-hw,Faith & Islamic Studies,,No,Inferred from the previous PocketTube collection,No
عبد الله نهاري,UC86Jb9qHRu2s9OHTFwAS7ww,https://www.youtube.com/channel/UC86Jb9qHRu2s9OHTFwAS7ww,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
عبدالله العجيري,UC3m94fTQg5dVIyoLcWtw2Rg,https://www.youtube.com/channel/UC3m94fTQg5dVIyoLcWtw2Rg,Faith & Islamic Studies,Islam; Faith,Yes,"Inferred from channel name, recent video titles, and collection context",No
عفة لتعزيز الفضيلة,UCyV-MkQId1feh7ckp2bg81Q,https://www.youtube.com/channel/UCyV-MkQId1feh7ckp2bg81Q,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
عمر عبد الكافي,UCKUOmGXE9Ytlc2EzpGqimtw,https://www.youtube.com/channel/UCKUOmGXE9Ytlc2EzpGqimtw,Faith & Islamic Studies,,No,"Inferred from channel name, recent video titles, and collection context",No
